#{"t_start": 1643228505.760292, "env_id": null}
r,l,t
-75.468253,444,4.490088
-323.259217,864,13.203856
-159.219427,500,17.125301
-41.791772,128,18.785488
-106.970605,545,34.657752
-32.294087,370,39.150498
-412.668979,1027,51.119358
-99.602023,425,66.415562
-148.919146,674,71.656398
-277.479979,649,81.793458
-657.975335,1727,115.214791
-343.553644,777,125.63641
-1139.944475,2917,179.247033
-100.573468,1644,210.14533
-733.368018,2228,242.72443
-544.721583,1207,256.794707
-386.971538,2045,297.012856
-53.934594,185,298.529307
-14.6,18,298.553515
-156.024344,701,317.977031
-199.662993,763,329.582742
6.861082,35,329.629779
-78.580323,433,337.649005
-5.424104,38,337.704292
145.522988,513,353.659009
-534.337724,1164,367.988432
-125.231292,2595,424.774397
-244.012461,694,435.700186
-392.415644,913,452.344436
-8.977139,110,453.695569
-434.720558,1390,487.559557
-118.437146,465,498.299199
-563.251527,2853,579.734823
-5.621573,37,579.799409
564.015203,1144,604.46571
20.649937,103,605.661289
-559.380414,2227,653.697483
-5.276963,65,653.785313
61.269498,222,670.896066
-507.88863,1040,691.982377
-1.252121,3,691.988879
-591.413188,2065,738.198914
-986.528217,2190,792.975049
-95.543267,445,798.658186
-3.752465,51,801.341393
-4.59888,33,801.390718
-44.603093,799,830.372926
-46.6,58,832.35
-152.12961,520,842.908649
-228.404986,883,854.866679
-127.078482,2456,919.325873
-59.759864,306,925.916306
35.0,66,927.833207
-4.610922,34,927.892784
-475.723483,2049,981.676536
-608.314939,3169,1055.327835
-255.693239,808,1077.077432
263.645258,1085,1103.605884
-650.005642,2683,1162.017974
388.569759,1093,1178.782225
-716.090831,2401,1228.655393
-290.229562,2249,1286.200339
-973.129495,3388,1372.533982
-17.690832,185,1377.093514
-6.549533,81,1377.224303
-1379.911962,3929,1465.383823
-33.8,51,1465.460129
-389.681688,4156,1551.945464
-661.104147,2177,1599.179102
-25.0,31,1599.221974
-195.606021,653,1621.742932
337.169242,767,1636.779605
-82.616115,4297,1725.843795
527.017177,1776,1762.856869
-1.070462,2,1762.859868
370.549835,929,1783.854891
-1.582818,26,1784.262347
357.544727,4033,1865.600591
-26.393025,188,1866.419003
26.96755,49,1866.79793
-1.0,1,1866.79981
-242.673163,698,1890.425148
-11.045582,191,1892.949973
512.87642,2542,1955.058032
-173.183265,698,1976.961712
-1.0,1,1976.963458
-8.793988,130,1978.425606
-553.743927,1527,2007.271017
-630.54431,1685,2048.806919
-2.946883,15,2048.827278
-10.740638,227,2051.875251
-464.388536,1243,2086.326166
67.0,107,2086.482481
696.649093,1986,2134.615062
-219.637135,731,2150.451913
-1.0,1,2150.453577
301.67785,544,2167.9999
-97.030935,447,2174.063859
-10.411812,99,2176.349631
-470.918968,3540,2265.023635
-347.035433,1215,2283.974054
162.155707,408,2290.470701
-69.676169,317,2296.761544
-81.940192,328,2309.463045
-5.72036,93,2311.400026
255.713768,812,2324.484189
-705.671842,1564,2361.709861
1208.408149,1679,2403.95508
-1.0,1,2403.956664
-8.486588,248,2408.752982
-458.48365,1043,2427.340386
45.169058,84,2427.480254
0.891765,44,2429.266556
-456.300779,2054,2475.828916
466.086747,835,2507.010368
-49.087968,3474,2606.432791
-88.459902,918,2637.618583
